,Place,Pts,Rank,Value,val,5 Yr Avg,Prior 5 Yr,2025-26,2045-25,2023-24,2022-23,2021-22,2020-21,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12
Rutgers,,,91,40.7496937,2.812327,2.75,3,,,,,11,10,,,,,,,,
Saint Francis (PA),,,172,9.697970943,0.374826,0.5,0,,15,,,,,,,,,,,,
Saint Joseph's,,,134,19.14141393,0.874825,0,3.5,,,,,,,,,,8,,10,,
Saint Louis,,,95,39.73463305,2.687324,3.25,1,9,,,,,,13,,,,,5,4,9
Saint Mary's,,,27,82.4569845,13.999823,16.5,6.5,7,7,5,5,5,,11,,7,,,,11,7
Saint Peter's,,,144,17.04068635,0.749822,1,0,,,15,,15,,,,,,,,,
Samford,,,145,17.04066895,0.749821,1,0,,,13,,,,,,,,,,,
San Diego State,,,30,79.80759794,12.74982,14.75,6.75,,11,5,5,8,6,,11,,,8,4,7,
San Francisco,,,100,35.8891648,2.249819,3,0,,,,,10,,,,,,,,,
Santa Clara,,,101,35.88915543,2.249818,3,0,10,,,,,,,,,,,,,
Seton Hall,,,61,59.5215135,6.062317,3.5,13.75,,,,,8,,10,8,9,6,,,,
Siena,,,200,5.234043041,0.187316,0.25,0,16,,,,,,,,,,,,,
SIU Edwardsville,,,233,0.0016125954789034127,-0.000179,0,0,,16,,,,,,,,,,,,
South Carolina,,,75,48.62275915,3.937314,4,3.75,,,6,,,,,,7,,,,,
South Dakota State,,,98,37.59693855,2.437313,1.5,5.25,,,15,,13,,,12,16,12,,,13,14
South Florida,,,104,34.07975707,2.062312,2.75,0,11,,,,,,,,,,,,,12
Southeast Missouri,,,201,5.233914841,0.187311,0.25,0,,,,16,,,,,,,,,,
Southern,,,217,1.847350724,0.06231,0,0.25,,,,,,,,,,16,,,16,
Southern California,,,48,65.60711581,7.624809,6.75,10.25,,,,10,7,6,,,11,8,,,,
Southern Methodist,,,85,42.68342537,3.062308,2.75,4,11,,,,,,,,6,,6,,,
Southern Miss,,,242,0.001400612241,-0.000193,0,0,,,,,,,,,,,,,,9
St. Bonaventure,,,115,27.90049444,1.499806,0,6,,,,,,9,,11,,,,,,14
St. John's,,,43,68.74892186,8.562305,10.5,2.75,5,2,,,,,11,,,,9,,,
Stanford,,,243,0.001309269928,-0.000196,0,0,,,,,,,,,,,,10,,
Stephen F. Austin,,,173,9.697461637,0.374803,0,1.5,,,,,,,,14,,14,12,12,,
Stetson,,,202,5.23368408,0.187302,0.25,0,,,16,,,,,,,,,,,
Stony Brook,,,189,6.795426037,0.249801,0,1,,,,,,,,,,13,,,,
Syracuse,,,86,42.21128622,2.9998,0,12,,,,,,11,8,11,,10,,3,4,1
Temple,,,118,27.12952437,1.437299,0,5.75,,,,,,,11,,,10,,,9,5
