,Place,Pts,Rank,Value,val,5 Yr Avg,Prior 5 Yr,2025-26,2045-25,2023-24,2022-23,2021-22,2020-21,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12
Detroit Mercy,,,,,,,,,,,,,,,,,,,,,15
Drake,,,,,,,,,11,10,12,,11,,,,,,,,
Drexel,,,,,,,,,,,,,16,,,,,,,,
Duke,,,,,,,,1,1,4,5,2,,1,2,2,4,1,3,2,2
Duquesne,,,,,,,,,,11,,,,,,,,,,,
East Tennessee State,,,,,,,,,,,,,,,,13,,,,,
Eastern Kentucky,,,,,,,,,,,,,,,,,,,15,,
Eastern Washington,,,,,,,,,,,,,14,,,,,13,,,
Fairleigh Dickinson,,,,,,,,,,,16,,,16,,,16,,,,
Florida,,,,,,,,1,1,7,,,7,10,6,4,,,1,3,7
Florida Atlantic,,,,,,,,,,8,9,,,,,,,,,,
Florida Gulf Coast,,,,,,,,,,,,,,,,14,16,,,15,
Florida State,,,,,,,,,,,,,4,4,9,3,,,,,3
Fresno State,,,,,,,,,,,,,,,,,14,,,,
Furman,,,,,,,,15,,,13,,,,,,,,,,
Gardner Webb,,,,,,,,,,,,,,16,,,,,,,
George Washington,,,,,,,,,,,,,,,,,,,9,,
Georgetown,,,,,,,,,,,,,12,,,,,4,,2,3
Georgia,,,,,,,,8,9,,,,,,,,,10,,,
Georgia State,,,,,,,,,,,,16,,14,15,,,14,,,
Georgia Tech,,,,,,,,,,,,,9,,,,,,,,
Gonzaga,,,,,,,,3,8,5,3,1,1,1,4,1,11,2,8,1,7
Grambling State,,,,,,,,,,16,,,,,,,,,,,
Grand Canyon,,,,,,,,,13,12,14,,15,,,,,,,,
Green Bay,,,,,,,,,,,,,,,,,14,,,,
Hampton,,,,,,,,,,,,,,,,,16,16,,,
Hartford,,,,,,,,,,,,,16,,,,,,,,
Harvard,,,,,,,,,,,,,,,,,,13,12,14,12
Hawaii,,,,,,,,13,,,,,,,,,13,,,,
High Point,,,,,,,,12,13,,,,,,,,,,,,
Hofstra,,,,,,,,13,,,,,,,,,,,,,
Holy Cross,,,,,,,,,,,,,,,,,16,,,,
Houston,,,,,,,,2,1,1,1,5,2,3,6,,,,,,
Howard,,,,,,,,16,,16,16,,,,,,,,,,
Idaho,,,,,,,,15,,,,,,,,,,,,,
Illinois,,,,,,,,3,6,3,9,4,1,,,,,,,7,
Indiana,,,,,,,,,,,4,12,,,,,5,10,,1,4
Iona,,,,,,,,,,,13,,15,16,15,14,13,,,15,14
Iowa,,,,,,,,9,,,8,5,2,10,,,7,7,11,,
Iowa State,,,,,,,,2,3,2,6,11,,6,,5,4,3,3,10,8
Jacksonville State,,,,,,,,,,,,15,,,,15,,,,,
James Madison,,,,,,,,,,12,,,,,,,,,,16,
Kansas,,,,,,,,4,7,4,1,1,3,4,1,1,1,2,2,1,2
Kansas State,,,,,,,,,,,3,,,4,9,11,,,9,4,8
Kennesaw State,,,,,,,,14,,,14,,,,,,,,,,
Kent State,,,,,,,,,,,13,,,,,14,,,,,
Kentucky,,,,,,,,7,3,3,6,2,,2,5,2,4,1,8,,1
La Salle,,,,,,,,,,,,,,,,,,,,13,
Lafayette,,,,,,,,,,,,,,,,,,16,,,
Lamar,,,,,,,,,,,,,,,,,,,,,16
Lehigh,,,,,,,,16,,,,,,,,,,,,,15
Liberty,,,,,,,,,12,,,,13,12,,,,,,16,
Lipscomb,,,,,,,,,14,,,,,,15,,,,,,
Little Rock,,,,,,,,,,,,,,,,,12,,,,
LIU,,,,,,,,16,,,,,,,16,,,,,16,16
Long Beach State,,,,,,,,,,15,,,,,,,,,,,12
Longwood,,,,,,,,,,16,,14,,,,,,,,,
Louisiana,,,,,,,,,,,13,,,,,,,,14,,
Louisiana State,,,,,,,,,,,,6,8,3,,,,9,,,
Louisville,,,,,,,,6,8,,,,,7,,2,,4,4,1,4
Loyola Chicago,,,,,,,,,,,,10,8,,11,,,,,,
Loyola MD,,,,,,,,,,,,,,,,,,,,,15
Manhattan,,,,,,,,,,,,,,,,,,16,13,,
Marquette,,,,,,,,,7,2,2,9,,5,,10,,,,3,3
Marshall,,,,,,,,,,,,,,,13,,,,,,
Maryland,,,,,,,,,4,,8,,10,6,,6,5,4,,,
Massachusetts,,,,,,,,,,,,,,,,,,,6,,
McNeese,,,,,,,,12,12,12,,,,,,,,,,,
Memphis,,,,,,,,,5,,8,9,,,,,,,8,6,8
Mercer,,,,,,,,,,,,,,,,,,,14,,
Miami,,,,,,,,7,,,5,10,,,6,8,3,,,2,
Miami OH,,,,,,,,11,,,,,,,,,,,,,
Michigan,,,,,,,,1,5,,,11,1,2,3,7,11,,2,4,4
Michigan State,,,,,,,,3,2,9,7,7,11,2,3,9,2,7,4,3,1
Middle Tennessee,,,,,,,,,,,,,,,,12,15,,,11,
Milwaukee,,,,,,,,,,,,,,,,,,,15,,
Minnesota,,,,,,,,,,,,,,10,,5,,,,11,6
Mississippi State,,,,,,,,,8,8,11,,,5,,,,,,,
Mississippi Valley State,,,,,,,,,,,,,,,,,,,,,16
Missouri,,,,,,,,10,6,,7,,9,,8,,,,,9,2
Montana,,,,,,,,,14,,,,,15,14,,,,,13,13
Montana State,,,,,,,,,,16,14,14,,,,,,,,,
Morehead State,,,,,,,,,,14,,,14,,,,,,,,
Mount State Mary's,,,,,,,,,16,,,,16,,,16,,,16,,
Murray State,,,,,,,,,,,,7,,12,12,,,,,,6
Nebraska,,,,,,,,4,,8,,,,,,,,,11,,
Nevada,,,,,,,,,,10,11,,,7,7,12,,,,,
New Mexico,,,,,,,,,10,11,,,,,,,,,7,3,5
New Mexico State,,,,,,,,,,,,12,,12,12,14,,15,13,13,13
New Orleans,,,,,,,,,,,,,,,,16,,,,,
Norfolk State,,,,,,,,,16,,,16,16,,,,,,,,15
North Carolina,,,,,,,,6,11,1,,8,8,1,2,1,1,4,6,8,1
North Carolina A&T,,,,,,,,,,,,,,,,,,,,16,
North Carolina Central,,,,,,,,,,,,,,16,16,16,,,14,,
North Carolina State,,,,,,,,11,,11,11,,,,9,,,8,12,8,11
North Dakota,,,,,,,,,,,,,,,,15,,,,,
North Dakota State,,,,,,,,14,,,,,,16,,,,15,12,,
North Florida,,,,,,,,,,,,,,,,,,16,,,
North Texas,,,,,,,,,,,,,13,,,,,,,,
Northeastern,,,,,,,,,,,,,,13,,,,14,,,
Northern Iowa,,,,,,,,12,,,,,,,,,11,5,,,
Northern Kentucky,,,,,,,,,,,16,,,14,,15,,,,,
Northwestern,,,,,,,,,,9,7,,,,,8,,,,,
Northwestern State,,,,,,,,,,,,,,,,,,,,14,
Notre Dame,,,,,,,,,,,,11,,,,5,6,3,,7,7
Oakland,,,,,,,,,,14,,,,,,,,,,,
Ohio,,,,,,,,,,,,,13,,,,,,,,13
Ohio State,,,,,,,,8,,,,7,2,11,5,,,10,6,2,2
Oklahoma,,,,,,,,,9,,,,8,9,10,,2,3,5,10,
Oklahoma State,,,,,,,,,,,,,4,,,10,,9,9,5,
Old Dominion,,,,,,,,,,,,,,14,,,,,,,
Ole Miss,,,,,,,,,6,,,,,8,,,,11,,12,
Omaha,,,,,,,,,15,,,,,,,,,,,,
Oral Roberts,,,,,,,,,,,12,,15,,,,,,,,
Oregon,,,,,,,,,5,11,,,7,12,,3,1,8,7,12,
Oregon State,,,,,,,,,,,,,12,,,,7,,,,
Pacific,,,,,,,,,,,,,,,,,,,,15,
Penn State,,,,,,,,,,,10,,,,4,,,,,,
Pennsylvania,,,,,,,,14,,,,,,,16,,,,,,
Pittsburgh,,,,,,,,,,,11,,,,,,10,,9,8,
Prairie View A&M,,,,,,,,16,,,,,,16,,,,,,,
Princeton,,,,,,,,,,,15,,,,,12,,,,,
Providence,,,,,,,,,,,11,4,,,10,11,9,6,11,,
Purdue,,,,,,,,2,4,1,1,3,4,3,2,4,5,9,,,10
Queens,,,,,,,,15,,,,,,,,,,,,,
Radford,,,,,,,,,,,,,,,16,,,,,,
Rhode Island,,,,,,,,,,,,,,,7,11,,,,,
Richmond,,,,,,,,,,,,12,,,,,,,,,
Robert Morris,,,,,,,,,15,,,,,,,,,16,,,
Rutgers,,,,,,,,,,,,11,10,,,,,,,,
Saint Francis (PA),,,,,,,,,15,,,,,,,,,,,,
Saint Joseph's,,,,,,,,,,,,,,,,,8,,10,,
Saint Louis,,,,,,,,9,,,,,,13,,,,,5,4,9
Saint Mary's,,,,,,,,7,7,5,5,5,,11,,7,,,,11,7
Saint Peter's,,,,,,,,,,15,,15,,,,,,,,,
Samford,,,,,,,,,,13,,,,,,,,,,,
San Diego State,,,,,,,,,11,5,5,8,6,,11,,,8,4,7,
San Francisco,,,,,,,,,,,,10,,,,,,,,,
Santa Clara,,,,,,,,10,,,,,,,,,,,,,
Seton Hall,,,,,,,,,,,,8,,10,8,9,6,,,,
Siena,,,,,,,,16,,,,,,,,,,,,,
SIU Edwardsville,,,233,0.0016125954789034127,-0.000179,0,0,,16,,,,,,,,,,,,
South Carolina,,,,,,,,,,6,,,,,,7,,,,,
South Dakota State,,,,,,,,,,15,,13,,,12,16,12,,,13,14
South Florida,,,,,,,,11,,,,,,,,,,,,,12
Southeast Missouri,,,,,,,,,,,16,,,,,,,,,,
Southern,,,,,,,,,,,,,,,,,16,,,16,
Southern California,,,,,,,,,,,10,7,6,,,11,8,,,,
Southern Methodist,,,,,,,,11,,,,,,,,6,,6,,,
Southern Miss,,,,,,,,,,,,,,,,,,,,,9
St. Bonaventure,,,,,,,,,,,,,9,,11,,,,,,14
St. John's,,,,,,,,5,2,,,,,11,,,,9,,,
Stanford,,,,,,,,,,,,,,,,,,,10,,
Stephen F. Austin,,,,,,,,,,,,,,,14,,14,12,12,,
Stetson,,,,,,,,,,16,,,,,,,,,,,
Stony Brook,,,,,,,,,,,,,,,,,13,,,,
Syracuse,,,,,,,,,,,,,11,8,11,,10,,3,4,1
Temple,,,,,,,,,,,,,,11,,,10,,,9,5
Tennessee,,,,,,,,6,2,2,4,3,5,2,3,,,,11,,
Tennessee State,,,,,,,,15,,,,,,,,,,,,,
Texas,,,,,,,,11,11,7,2,6,3,,10,,6,11,7,,11
Texas A&M,,,,,,,,10,4,9,7,,,,7,,3,,,,
Texas A&M Corpus Chris,,,,,,,,,,,16,16,,,,,,,,,
Texas Christian,,,,,,,,9,,9,6,9,,,6,,,,,,
Texas Southern,,,,,,,,,,,16,16,16,,16,16,,15,16,,
Texas Tech,,,,,,,,5,3,6,,3,6,3,3,,8,,,,
Troy,,,,,,,,13,14,,,,,,,15,,,,,
Tulsa,,,,,,,,,,,,,,,,,11,,13,,
UAB,,,,,,,,,,12,,12,,,,,,14,,,
UC Davis,,,,,,,,,,,,,,,,16,,,,,
UC Irvine,,,,,,,,,,,,,,13,,,,13,,,
UC San Diego,,,,,,,,,12,,,,,,,,,,,,
UC Santa Barbara,,,,,,,,,,,14,,12,,,,,,,,
UCLA,,,,,,,,7,7,,2,4,11,,11,3,,11,4,6,
UMBC,,,,,,,,16,,,,,,,16,,,,,,
UNC Asheville,,,,,,,,,,,15,,,,,,15,,,,16
UNC Greensboro,,,,,,,,,,,,,13,,13,,,,,,
UNC Wilmington,,,,,,,,,14,,,,,,,12,13,,,,
UNLV,,,,,,,,,,,,,,,,,,,,5,6
Utah,,,,,,,,,,,,,,,,,3,5,,,
Utah State,,,,,,,,9,10,8,10,,11,8,,,,,,,
Valparaiso,,,,,,,,,,,,,,,,,,13,,14,
Vanderbilt,,,,,,,,5,10,,,,,,,9,11,,,,5
VCU,,,,,,,,11,11,,12,,10,8,,10,10,7,5,5,12
Vermont,,,,,,,,,,13,15,13,,13,,13,,,,,16
Villanova,,,,,,,,8,,,,2,5,6,1,1,2,1,2,9,
Virginia,,,,,,,,3,,10,4,,4,1,1,5,1,2,1,,10
Virginia Tech,,,,,,,,,,,,11,10,4,8,9,,,,,
Wagner,,,,,,,,,,16,,,,,,,,,,,
Wake Forest,,,,,,,,,,,,,,,,11,,,,,
Washington,,,,,,,,,,,,,,9,,,,,,,
Washington State,,,,,,,,,,7,,,,,,,,,,,
Weber State,,,,,,,,,,,,,,,,,15,,16,,
West Virginia,,,,,,,,,,,9,,3,,5,4,3,5,,,10
Western Kentucky,,,,,,,,,,15,,,,,,,,,,16,16
Western Michigan,,,,,,,,,,,,,,,,,,,14,,
Wichita State,,,,,,,,,,,,,11,,4,10,11,7,1,9,5
Winthrop,,,,,,,,,,,,,12,,,13,,,,,
Wisconsin,,,,,,,,5,3,5,,3,9,5,,8,7,1,2,5,4
Wofford,,,,,,,,,15,,,,,7,,,,12,15,,
Wright State,,,,,,,,14,,,,16,,,14,,,,,,
Wyoming,,,,,,,,,,,,12,,,,,,12,,,
Xavier,,,,,,,,,11,,3,,,,1,11,2,6,12,,10
Yale,,,,,,,,,13,13,,14,,14,,,12,,,,
