,Rank,Value,val,5 Yr Avg,Prior 5 Yr,'2025,'2024,'2023,'2022,'2021,'2019,'2018,'2017,'2016,'2015,'2014,'2013,'2012
Oklahoma,,,,,,0.5,0.5,0.5,15,,,0.5,0.5,,,,1,1
Oklahoma State,,,,,,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,10,0.5,1,0.5,
Old Dominion,,,,,,,,,,0.5,,,,,,0.5,,
Ole Miss,,,,,,0.5,,,30,1,1,0.5,,0.5,0.5,10,0.5,0.5
Omaha,,,,,,,,,,,0.5,,,,,,,
Oral Roberts,,,,,,,0.5,5,0.5,,,0.5,0.5,0.5,0.5,,,0.5
Oregon,,,,,,0.5,1,1,0.5,0.5,,,,,0.5,0.5,0.5,1
Oregon State,,,,,,5,1,0.5,1,0.5,0.5,30,10,,0.5,0.5,10,0.5
Pennsylvania,,,,,,,0.5,0.5,,,,,,,,,,
Pepperdine,,,,,,,,,,,,,,,0.5,1,,0.5
Pittsburgh,,,,,,,,,,,,,,,,,,
Prairie View A&M,,,,,,,,,,,,,,,,,,0.5
Presbyterian,,,,,,,,,,0.5,,,,,,,,
Princeton,,,,,,,,,,,,,,0.5,,,,
Purdue,,,,,,,,,,,,0.5,,,,,,0.5
Quinnipiac,,,,,,,,,,,0.5,,,,,,,
Radford,,,,,,,,,,,,,0.5,,0.5,,,
Rhode Island,,,,,,0.5,,,,,,,,0.5,,,,
Rice,,,,,,,,,,,,,0.5,0.5,0.5,,1,0.5
Rider,,,,,,,,0.5,,0.5,,,,,,0.5,,
Rutgers,,,,,,,,,,,,,,,,,,
Sacramento State,,,,,,,,,,,0.5,,0.5,,,0.5,,
Sacred Heart,,,,,,,,,,,,,,,0.5,,,0.5
Saint Louis,,,,,,,,,,,,0.5,,,,,0.5,
Saint Mary's,,,,,,0.5,,,,,,,,0.5,,,,
Sam Houston State,,,,,,,,,,,,,1,0.5,,0.5,0.5,0.5
Samford,,,,,,,,0.5,,0.5,,0.5,,,,,,0.5
San Diego,,,,,,,0.5,,0.5,,,,,,,,0.5,0.5
San Diego State,,,,,,,,,,,,0.5,0.5,,0.5,0.5,0.5,
San Francisco,,,,,,,,,,,,,,,,,0.5,
San Jose State,,,,,,,,0.5,,,,,,,,,,
Santa Clara,,,,,,,,0.5,,,,,,,,,,
Savannah State,,,,,,,,,,,,,,,,,0.5,
Seton Hall,,,,,,,,,,,,,,,,,,
Siena,,,,,,,,,,,,,,,,0.5,,
